transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,date,is_fraud,hour_of_day,day_of_week,is_weekend,tx_velocity_1h,amount_scaled,country_match,is_cross_border,is_fraud_ring,is_micro_tx,device_id_missing,merchant_category_enc,channel_enc,probability,explanation
tx_000784,2026-04-25 00:27:09,card_042,18.38,Amazon.ca,online_retail,online,US,CA,dev_33892b01,172.58.159.61,2026-04-25,False,0,5,1,0,1.0593659942363112,0,1,0,0,0,6,2,0.0,Score 0.00: Cardholder country does not match merchant country
tx_000081,2026-04-25 00:32:37,card_004,160.55,Schwartz's,restaurant,in_person,CA,CA,,,2026-04-25,False,0,5,1,0,6.821754833227109,1,0,0,0,1,7,1,0.0,Score 0.00: Amount is 6.8x the cardholder's typical median
tx_000389,2026-04-25 01:39:26,card_020,57.12,Chipotle,restaurant,in_person,US,US,,,2026-04-25,False,1,5,1,0,1.6979785969084422,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000779,2026-04-25 02:38:38,card_041,15.86,Videotron,utilities,online,CA,CA,dev_614ef198,142.112.31.70,2026-04-25,False,2,5,1,0,0.6174810200506131,1,0,0,0,0,10,2,0.0,Score 0.00: General anomalous behavior detected by model
tx_000256,2026-04-25 04:26:31,card_013,52.73,Shopify Merchant 2,online_retail,online,CA,CA,dev_e5c2222f,24.114.1.85,2026-04-25,False,4,5,1,1,1.086208672365846,1,0,0,0,0,6,2,0.01,Score 0.01: General anomalous behavior detected by model
tx_000041,2026-04-25 05:09:52,card_002,57.27,McDonald's,restaurant,in_person,CA,CA,,,2026-04-25,False,5,5,1,0,2.864932466233117,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000649,2026-04-25 06:16:56,card_035,15.99,Disney+,subscription,online,CA,US,dev_37f4b88c,24.114.240.71,2026-04-25,False,6,5,1,0,0.7588989084005695,0,1,0,0,0,8,2,0.0,Score 0.00: Cardholder country does not match merchant country
tx_000063,2026-04-25 06:51:00,card_003,48.14,Provigo,grocery,in_person,CA,CA,,,2026-04-25,False,6,5,1,0,1.1140939597315436,1,0,0,0,1,5,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000544,2026-04-25 08:19:31,card_029,9.06,Hydro-Quebec,utilities,online,CA,CA,dev_72eedf3c,24.114.198.77,2026-04-25,False,8,5,1,0,0.2702863961813843,1,0,0,0,0,10,2,0.0,Score 0.00: General anomalous behavior detected by model
tx_000551,2026-04-25 08:25:39,card_029,58.77,Tim Hortons,restaurant,in_person,CA,CA,,,2026-04-25,False,8,5,1,0,1.7532816229116948,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000782,2026-04-25 09:03:20,card_042,9.66,Chipotle,restaurant,in_person,US,US,,,2026-04-25,False,9,5,1,0,0.5567723342939481,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000206,2026-04-25 09:09:03,card_011,4.85,Chipotle,restaurant,in_person,CA,CA,,,2026-04-25,False,9,5,1,0,0.4667949951876804,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000521,2026-04-25 09:18:09,card_028,51.13,eBay,online_retail,online,CA,US,dev_bea30580,99.225.214.42,2026-04-25,False,9,5,1,0,0.8800344234079174,0,1,0,0,0,6,2,0.0,Score 0.00: Cardholder country does not match merchant country
tx_000690,2026-04-25 11:27:41,card_037,41.39,IGA,grocery,in_person,CA,CA,,,2026-04-25,False,11,5,1,0,0.7871814378090529,1,0,0,0,1,5,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000853,2026-04-25 11:57:46,card_045,42.68,eBay,online_retail,online,FR,US,dev_ba413b67,82.66.10.13,2026-04-25,False,11,5,1,0,1.412777226084078,0,1,0,0,0,6,2,0.0,Score 0.00: Cardholder country does not match merchant country
tx_000396,2026-04-25 12:33:42,card_021,94.87,Tim Hortons,restaurant,in_person,CA,CA,,,2026-04-25,False,12,5,1,1,1.9107754279959717,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000442,2026-04-25 12:43:20,card_023,28.79,Whole Foods,grocery,in_person,CA,CA,,,2026-04-25,False,12,5,1,0,2.552304964539007,1,0,0,0,1,5,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000897,2026-04-25 13:55:46,card_048,9.57,McDonald's,restaurant,in_person,CA,CA,,,2026-04-25,False,13,5,1,0,0.3536585365853659,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
tx_000018,2026-04-25 14:13:47,card_000,51.5,Hydro-Quebec,utilities,online,CA,CA,dev_bc0178b6,99.225.129.227,2026-04-25,False,14,5,1,0,1.401741970604246,1,0,0,0,0,10,2,0.01,Score 0.01: General anomalous behavior detected by model
tx_000394,2026-04-25 15:06:17,card_021,19.32,Etsy,online_retail,online,CA,US,dev_f61b4d97,24.114.210.28,2026-04-25,False,15,5,1,0,0.3891238670694864,0,1,0,0,0,6,2,0.01,Score 0.01: Cardholder country does not match merchant country
tx_000027,2026-04-25 15:51:42,card_001,69.73,Etsy,online_retail,online,CA,US,dev_8080a2c9,24.114.208.216,2026-04-25,False,15,5,1,0,1.2566228149216074,0,1,0,0,0,6,2,0.0,Score 0.00: Cardholder country does not match merchant country
tx_000702,2026-04-25 17:37:25,card_037,16.88,Tim Hortons,restaurant,in_person,CA,CA,,,2026-04-25,False,17,5,1,0,0.3210346139216432,1,0,0,0,1,7,1,0.0,Score 0.00: General anomalous behavior detected by model
