transaction_id,card_id,amount,is_fraud,confidence_score,explanation
tx_000784,card_042,18.38,False,0.9,"Only a cross-border mismatch was detected. Per investigation rules, this alone is not sufficient for a fraud flag, especially for a common online retailer like Amazon."
tx_000081,card_004,160.55,False,0.98,No fraud signals were detected for this in-person transaction.
tx_000389,card_020,57.12,False,0.98,No fraud signals were detected for this in-person transaction.
tx_000779,card_041,15.86,False,0.98,No fraud signals were detected for this online utility payment.
tx_000256,card_013,52.73,False,0.98,No fraud signals were detected for this online retail transaction.
tx_000041,card_002,57.27,False,0.98,No fraud signals detected. This is a standard in-person transaction within the cardholder's home country.
tx_000649,card_035,15.99,False,0.85,"While there is a cross-border mismatch, it is for a well-known US-based subscription service (Disney+), which is common for Canadian users. No other suspicious signals are present."
tx_000063,card_003,48.14,False,0.98,No fraud signals detected. This is a standard in-person grocery transaction within the cardholder's home country.
tx_000544,card_029,9.06,False,0.98,No fraud signals detected. This is a standard online utility payment within the cardholder's home country.
tx_000551,card_029,58.77,False,0.8,"The amount multiplier is 6.5x, which is elevated but does not meet the >10x threshold for strong fraud evidence. No other boolean signals are triggered."
tx_000782,card_042,9.66,False,0.95,No fraud signals were triggered. The transaction is in-person and occurs within the cardholder's home country.
tx_000206,card_011,4.85,False,0.99,"No fraud signals detected. This is a low-value, in-person transaction within the cardholder's country."
tx_000521,card_028,51.13,False,0.85,"Only one signal (Cross Border Mismatch) is present. Per investigation rules, this alone is not sufficient to flag fraud for an online retail transaction."
tx_000690,card_037,41.39,False,0.99,No fraud signals detected. This is a standard in-person grocery transaction within the cardholder's country.
tx_000853,card_045,42.68,False,0.85,"Only one signal (Cross Border Mismatch) is present. Without additional signals like a missing device ID, it does not meet the threshold for fraud."
tx_000396,card_021,94.87,False,0.99,"The transaction is domestic, performed in person, and triggered no fraud signal detectors."
tx_000442,card_023,28.79,False,0.99,"The transaction is domestic, performed in person, and triggered no fraud signal detectors."
tx_000897,card_048,9.57,False,0.99,"The transaction is domestic, performed in person, and triggered no fraud signal detectors."
tx_000018,card_000,51.5,False,0.99,The transaction is domestic and triggered no fraud signal detectors.
tx_000394,card_021,19.32,False,0.85,"While there is a cross-border mismatch, it is a common occurrence for online retail (Etsy). Only one boolean signal is true, and there is no missing device ID or high amount multiplier to indicate fraud."
tx_000027,card_001,69.73,False,0.8,"Only one signal (Cross Border Mismatch) is present. According to Rule 3, this alone is not sufficient to flag as fraud without accompanying factors like a missing device ID."
tx_000702,card_037,16.88,False,0.95,"No fraud signals detected. The transaction is domestic, in-person, and consistent with the cardholder's recent history."
tx_000873,card_047,37.03,False,0.95,No fraud signals detected. This is a standard domestic online transaction for a utility provider.
tx_000608,card_033,92.02,False,0.95,No fraud signals detected. This is a domestic in-person grocery transaction with no suspicious indicators.
tx_000226,card_012,27.35,False,0.95,No fraud signals detected. This is a domestic in-person grocery transaction with no suspicious indicators.
tx_000391,card_021,135.46,False,0.95,No fraud signals were triggered. The amount multiplier is low (2.4x) and the transaction is domestic.
tx_000914,card_049,41.79,False,0.98,All signal detectors are negative and the transaction is domestic. No suspicious patterns detected.
tx_000735,card_039,8.6,False,0.98,No fraud signals detected. The transaction is domestic and the amount is within a normal range for the category.
tx_000604,card_032,28.46,False,0.98,No fraud signals detected. The transaction is domestic and follows normal spending patterns.
tx_000456,card_024,54.46,False,0.98,No fraud signals detected. The transaction is domestic and within normal parameters for a grocery purchase.
tx_000783,card_042,29.24,False,0.95,"No fraud signals detected. The transaction is in-person, within the cardholder's country, and the amount is reasonable."
tx_000533,card_028,102.56,False,0.95,No fraud signals detected. The transaction is a standard in-person grocery purchase within the cardholder's country.
tx_000250,card_013,18.19,False,0.95,No fraud signals detected. The transaction is for a utility provider within the cardholder's country with a low amount multiplier.
tx_000231,card_012,8.84,False,0.85,"Only one boolean signal (Cross Border Mismatch) is True. Per Rule 5, at least two signals are required to flag as fraud."
tx_000151,card_008,31.89,False,0.8,"Only one boolean signal (Cross Border Mismatch) is True. Despite the lack of card history, it does not meet the threshold for fraud defined in the rules."
tx_000615,card_033,62.5,False,0.98,All signal detectors are negative. The transaction is in-person with matching cardholder and merchant countries.
tx_000274,card_014,39.84,False,0.98,No suspicious signals detected. The transaction is in-person with matching countries and no red flags in the signal detectors.
tx_000441,card_023,46.32,False,0.98,No boolean signals are triggered. The amount multiplier is low (1.6x) and the transaction is in-person with matching countries.
tx_000896,card_048,16.42,False,0.98,No suspicious signals detected. The transaction is in-person with matching countries and a low amount multiplier.
tx_000317,card_017,9.3,False,0.98,All signal detectors are negative. The transaction is in-person with matching countries and a low transaction amount.
tx_000540,card_029,21.4,False,0.9,"Only one boolean signal (Cross Border Mismatch) is present, which is common for Amazon purchases. No other suspicious indicators or missing device IDs were detected."
tx_000156,card_008,84.46,False,0.95,No fraud signals detected. The transaction is an in-person purchase within the cardholder's home country with a reasonable amount multiplier.
tx_000400,card_021,47.99,False,0.95,No fraud signals detected. The transaction is a standard grocery purchase in the home country and aligns with the cardholder's spending history.
tx_000114,card_006,85.7,False,0.9,"No fraud signals detected. Although there is no previous history for this card, the transaction is a routine in-person gas station purchase in the home country."
tx_000316,card_017,22.57,False,0.95,No fraud signals detected. The transaction is a small in-person purchase consistent with the cardholder's recent history at other cafes.
tx_000743,card_040,91.1,False,0.95,"No fraud signals detected. The transaction is a domestic, in-person purchase at a common restaurant."
tx_000849,card_045,20.83,False,0.7,"While there is a cross-border mismatch, it is the only signal present. Per investigation rules, this alone is not sufficient to flag as fraud."
tx_000680,card_036,20.0,False,0.9,"The only signal is a missing device ID, which is normal and expected for an ATM channel transaction."
tx_000770,card_041,374.46,True,0.95,"The amount multiplier is 23.6x, which exceeds the 10x threshold defined in the investigation rules as strong evidence of fraud."
tx_000406,card_021,35.82,False,0.95,"No fraud signals detected. The transaction is a domestic, in-person grocery purchase consistent with the cardholder's recent history."
tx_000848,card_045,60.0,False,0.95,"Only one signal (Missing Device ID) is present, which is standard for ATM transactions. No other suspicious indicators were detected."
tx_000319,card_017,80.0,False,0.9,"Missing Device ID is expected for the ATM channel. While the amount multiplier is 5x, it does not reach the high-risk threshold of 10x."
tx_000747,card_040,29.49,False,0.99,"No fraud signals were triggered, and the transaction is consistent with the cardholder's country."
tx_000390,card_020,52.46,False,0.85,"A cross-border mismatch is present, but this is common for online retail purchases (Amazon.ca). No other supporting fraud signals were found."
tx_000401,card_021,57.93,False,0.99,No fraud signals detected. The transaction is consistent with the cardholder's location and recent spending history.
tx_000552,card_029,3.9,False,0.9,"Only one boolean signal (Cross Border Mismatch) is present. The cardholder has a history of previous transactions with Amazon.com, suggesting this is normal behavior."
tx_000806,card_043,16.27,False,0.95,"No fraud signals were detected, and the transaction is domestic with a low amount."
tx_000904,card_049,22.19,False,0.95,"No fraud signals were detected, and the transaction is domestic."
tx_000901,card_048,40.0,False,0.9,"Only one boolean signal (Missing Device ID) is present, which is expected and normal for the ATM channel."
tx_000454,card_024,80.0,False,0.9,"Only one boolean signal (Missing Device ID) is present, which is expected and normal for the ATM channel."
tx_000375,card_020,30.11,False,0.98,"No fraud signals were triggered. The transaction is in-person, matches the cardholder's country, and the amount is consistent with typical restaurant spending."
tx_000587,card_031,8.58,False,0.98,"No fraud signals were triggered. This is a low-value, in-person grocery transaction within the cardholder's home country."
tx_000543,card_029,42.13,False,0.92,"No boolean fraud signals were triggered. While the amount multiplier is 2.8x, it is well below the 10x threshold for high-risk flags."
tx_000280,card_015,32.18,False,0.98,No fraud signals were triggered. The transaction is for a utility provider in the cardholder's home country with no suspicious indicators.
tx_000800,card_042,11.08,False,0.98,No fraud signals were triggered. The transaction is a low-value online purchase within the cardholder's home country.
tx_000705,card_038,11.71,False,0.95,The transaction is in-person within the cardholder's home country and triggers no fraud signals.
tx_000286,card_015,58.15,False,0.95,The transaction is in-person within the cardholder's home country with a low amount multiplier and no other red flags.
tx_000413,card_022,15.99,False,0.85,"While there is a cross-border mismatch, this is typical for a global subscription service like Spotify, which is headquartered in Sweden."
tx_000765,card_041,15.99,False,0.85,The cross-border mismatch is expected for Spotify. No other fraud signals are present for this specific transaction.
tx_000268,card_014,10.15,False,0.95,The transaction is in-person within the cardholder's home country and triggers no fraud signals.
tx_000745,card_040,42.54,False,0.95,"The transaction is local, in-person, and the amount is consistent with the cardholder's recent spending history at other food and entertainment venues."
tx_000870,card_047,50.57,False,0.8,"While there is a cross-border mismatch, it is a common occurrence for online retail (AliExpress). No other suspicious signals or missing device IDs were detected."
tx_000221,card_011,83.08,True,0.9,"The amount multiplier is 17.1x, which exceeds the 10x threshold defined in the investigation rules as strong evidence of fraud."
tx_000102,card_005,13.47,False,0.9,"No fraud signals were triggered. Although there is no previous history, the transaction is a small, local payment to a known utility provider."
tx_000235,card_012,18.72,False,0.95,All signal detectors are negative and the transaction amount is consistent with the cardholder's recent online and retail spending patterns.
tx_000717,card_038,17.43,False,0.95,"The transaction is local, in-person, and shows no suspicious signal detectors or unusual amount multipliers."
tx_000124,card_007,49.23,False,0.8,"While there is a cross-border mismatch, it is the only signal triggered. Per investigation rules, a single mismatch without other factors is not sufficient to flag as fraud."
tx_000091,card_005,23.91,False,0.85,Only one boolean signal (cross-border mismatch) is present. The amount multiplier is low and no other fraud indicators are detected.
tx_000909,card_049,9.99,False,0.9,The cross-border mismatch is expected for a subscription service like Spotify (based in Sweden). No other suspicious signals are present.
tx_000764,card_041,85.73,False,0.9,"No boolean signals are triggered, and the amount multiplier (5.4x) is well below the 10x threshold for automatic fraud flagging."
tx_000111,card_006,22.43,False,0.85,"Only one signal (Cross Border Mismatch) is present, which is common for online retail like Etsy. No other suspicious indicators or high multipliers were detected."
tx_000577,card_031,25.75,False,0.95,No fraud signals were triggered. The transaction is domestic and the amount multiplier is well within normal limits.
tx_000023,card_001,100.0,False,0.9,"While Missing Device ID is True, this is expected for an ATM channel transaction. No other risk signals are present."
tx_000412,card_022,15.99,False,0.95,Cross Border Mismatch is standard for US-based subscription services like Netflix. No other suspicious signals were detected.
tx_000377,card_020,40.0,False,0.9,Missing Device ID is normal for an ATM transaction. No other risk signals or anomalies were detected in the card history.
tx_000813,card_043,27.3,False,0.95,No suspicious signals detected. The transaction is domestic and the amount multiplier is within a normal range.
tx_000788,card_042,10.98,False,0.95,No suspicious signals detected. The transaction is domestic and consistent with the cardholder's country.
tx_000883,card_047,7.67,False,0.95,No suspicious signals detected. The transaction is domestic and the amount is low and consistent with grocery spending.
tx_000635,card_034,18.63,False,0.85,Only one boolean signal (Cross Border Mismatch) is True. This is common for global online retailers like AliExpress and does not meet the threshold for fraud.
tx_000750,card_040,9.99,False,0.85,Only one boolean signal (Cross Border Mismatch) is True. This is typical for US-based subscription services like Netflix used by international customers.
tx_000110,card_006,42.9,False,0.95,"No suspicious signals detected. The transaction is in-person, within the cardholder's country, and consistent with recent spending."
tx_000664,card_036,69.81,False,0.9,"While the amount multiplier is 3.5x, it is well below the 10x threshold for fraud. No other boolean signals are triggered."
tx_000466,card_025,30.09,False,0.95,No suspicious signals detected. This is a standard utility payment within the cardholder's home country.
tx_000075,card_004,20.0,False,0.9,Missing Device ID is normal for ATM channel transactions. No other fraud indicators are present.
tx_000352,card_019,15.99,False,0.85,"Cross border mismatch is expected for Spotify as it is a Swedish company. Only one boolean signal is true, which does not meet the fraud threshold."
tx_000355,card_019,19.99,False,0.95,Cross border mismatch is expected for Spotify (Sweden) and is consistent with the card's previous transaction history.
tx_000132,card_007,37.6,False,0.98,No fraud signals detected. The transaction is domestic and the amount is within a normal range.
tx_000101,card_005,6.11,False,0.99,No fraud signals detected. This is a low-value domestic grocery transaction.
tx_000487,card_026,36.55,False,0.95,"No fraud signals detected. While there is no previous history, the transaction is domestic and for a standard amount."
tx_000259,card_013,201.67,False,0.85,Cross border mismatch is common for AliExpress. The amount multiplier is elevated (5.7x) but does not meet the >10x threshold for strong fraud evidence.
tx_000385,card_020,5.57,False,0.95,No fraud signals were detected. The transaction is in-person and matches the cardholder's country.
tx_000916,card_049,60.0,False,0.9,"Only one boolean signal (Missing Device ID) is true, which is normal for an ATM channel transaction. No other fraud rules were triggered."
tx_000448,card_024,37.51,False,0.95,No fraud signals were detected. The transaction is consistent with the cardholder's country and recent grocery spending history.
tx_000395,card_021,66.91,False,0.85,"While there is a Cross Border Mismatch, it is a single signal for an online retail purchase, which is common and does not meet the threshold for fraud."
tx_000141,card_007,24.16,False,0.95,No fraud signals were detected. The transaction is in-person and matches the cardholder's country.
tx_000621,card_033,11.94,False,0.98,No fraud signals were detected. The transaction is a low-value grocery purchase within the cardholder's home country.
tx_000056,card_003,60.0,False,0.9,"Only one boolean signal (Missing Device ID) is true, which is normal for an ATM channel transaction. No other suspicious activity is present."
tx_000198,card_010,12.19,False,0.98,No fraud signals were detected. This is a standard low-value gas station transaction in the cardholder's home country.
tx_000057,card_003,15.99,False,0.85,"While a cross-border mismatch is present, it is common for online subscriptions to US-based companies like Disney+. No other risk signals were triggered."
tx_000499,card_027,132.32,False,0.98,No fraud signals were detected. The transaction is an in-person purchase within the cardholder's home country.
tx_000292,card_015,76.91,False,0.95,"No fraud signals were triggered. The transaction is in-person, within the cardholder's country, and the amount multiplier is low."
tx_000061,card_003,74.47,False,0.95,No fraud signals were triggered. The transaction amount is consistent with the user's recent spending history.
tx_000570,card_030,11.54,False,0.9,No fraud signals were triggered. This is a low-value in-person transaction with no cross-border mismatch.
tx_000348,card_019,124.45,False,0.8,"Although the amount multiplier is elevated (6.9x), it does not exceed the 10x threshold, and no other boolean fraud signals are present."
